name,url,xml_url
Migrate for Compute Engine,https://cloud.google.com/migrate/compute-engine/docs/4.9/release-notes,https://cloud.google.com/feeds/migrate-for-compute-engine-release-notes.xml
Google Kubernetes Engine (GKE),https://cloud.google.com/kubernetes-engine/docs/release-notes,https://cloud.google.com/feeds/kubernetes-engine-release-notes.xml
Container Registry,https://cloud.google.com/container-registry/docs/release-notes,https://cloud.google.com/feeds/container-registry-release-notes.xml
Cloud Build,https://cloud.google.com/cloud-build/docs/release-notes,https://cloud.google.com/feeds/cloudbuild-release-notes.xml
Deep Learning Containers,https://cloud.google.com/ai-platform/deep-learning-containers/docs/release-notes,https://cloud.google.com/feeds/aiplatformdeeplearningcontainers-release-notes.xml
Container Optimized OS,https://cloud.google.com/container-optimized-os/docs/release-notes,no_xml_link
BigQuery,https://cloud.google.com/bigquery/docs/release-notes,https://cloud.google.com/feeds/bigquery-release-notes.xml
Cloud Composer,https://cloud.google.com/composer/docs/release-notes,https://cloud.google.com/feeds/composer-release-notes.xml
Cloud Dataflow,https://cloud.google.com/dataflow/docs/resources/release-notes-service,https://cloud.google.com/feeds/dataflow-release-notes.xml
Cloud Data Fusion,https://cloud.google.com/data-fusion/docs/release-notes,https://cloud.google.com/feeds/clouddatafusion-release-notes.xml
Cloud Dataprep,https://cloud.google.com/dataprep/docs/release-notes,https://cloud.google.com/feeds/dataprep-release-notes.xml
Cloud Dataproc,https://cloud.google.com/dataproc/docs/release-notes,https://cloud.google.com/feeds/dataproc-release-notes.xml
Cloud Pub/Sub,https://cloud.google.com/pubsub/docs/release-notes,https://cloud.google.com/feeds/pubsub-release-notes.xml
Data Catalog,https://cloud.google.com/data-catalog/docs/release-notes,https://cloud.google.com/feeds/data-catalog-release-notes.xml
Cloud Life Sciences (beta),https://cloud.google.com/life-sciences/docs/release-notes,https://cloud.google.com/feeds/cloud-life-sciences-release-notes.xml
Cloud Bigtable,https://cloud.google.com/bigtable/docs/release-notes,https://cloud.google.com/feeds/bigtable-release-notes.xml
Cloud Firestore,https://cloud.google.com/firestore/docs/release-notes,https://cloud.google.com/feeds/fs-release-notes.xml
Memorystore for Memcached,https://cloud.google.com/memorystore/docs/memcached/release-notes,https://cloud.google.com/feeds/memorystorememcache-release-notes.xml
Memorystore for Redis,https://cloud.google.com/memorystore/docs/redis/release-notes,https://cloud.google.com/feeds/memorystore-release-notes.xml
Cloud Spanner,https://cloud.google.com/spanner/docs/release-notes,https://cloud.google.com/feeds/spanner-release-notes.xml
Cloud SQL for MySQL,https://cloud.google.com/sql/docs/mysql/release-notes,https://cloud.google.com/feeds/cloud-sql-mysql-release-notes.xml
Cloud SQL for PostgreSQL,https://cloud.google.com/sql/docs/postgres/release-notes,https://cloud.google.com/feeds/cloud-sql-postgres-release-notes.xml
Cloud SQL for SQL Server,https://cloud.google.com/sql/docs/sqlserver/release-notes,https://cloud.google.com/feeds/cloud-sql-server-release-notes.xml
Datastore,https://cloud.google.com/datastore/release-notes,https://cloud.google.com/feeds/datastore-release-notes.xml
Artifact Registry,https://cloud.google.com/artifact-registry/docs/release-notes,https://cloud.google.com/feeds/artifactregistry-release-notes.xml
Cloud SDK,https://cloud.google.com/sdk/docs/release-notes,no_xml_link
Container Registry,https://cloud.google.com/container-registry/docs/release-notes,https://cloud.google.com/feeds/container-registry-release-notes.xml
Cloud Build,https://cloud.google.com/cloud-build/docs/release-notes,https://cloud.google.com/feeds/cloudbuild-release-notes.xml
Cloud Source Repositories,https://cloud.google.com/source-repositories/docs/release-notes,https://cloud.google.com/feeds/cloud-source-repositories-release-notes.xml
Cloud Scheduler,https://cloud.google.com/scheduler/docs/release-notes,https://cloud.google.com/feeds/cloudscheduler-release-notes.xml
Cloud Tasks,https://cloud.google.com/tasks/docs/release-notes,https://cloud.google.com/feeds/cloud-tasks-release-notes.xml
Cloud Code for IntelliJ,https://cloud.google.com/code/docs/intellij/release-notes,https://cloud.google.com/feeds/cloud-code-for-intellij-release-notes.xml
Cloud Tools for PowerShell,https://cloud.google.com/tools/powershell/docs/release-notes,https://cloud.google.com/feeds/cloud-tools-for-powershell-release-notes.md
Cloud Tools for Visual Studio,https://cloud.google.com/tools/visual-studio/docs/release-notes,https://cloud.google.com/feeds/cloud-tools-for-visual-studio-release-notes.md
Cloud Tools for Eclipse,https://cloud.google.com/eclipse/docs/release-notes,https://cloud.google.com/feeds/eclipse-release-notes.xml
Cloud Life Sciences (beta),https://cloud.google.com/life-sciences/docs/release-notes,https://cloud.google.com/feeds/cloud-life-sciences-release-notes.xml
Cloud Healthcare API,https://cloud.google.com/healthcare/docs/release-notes,https://cloud.google.com/feeds/cloud-healthcare-release-notes.xml
Anthos,https://cloud.google.com/anthos/docs/release-notes,https://cloud.google.com/feeds/anthos-release-notes.xml
Anthos GKE,https://cloud.google.com/anthos/gke/docs/on-prem/release-notes,https://cloud.google.com/feeds/gkeonprem-release-notes.xml
Anthos Config Management,https://cloud.google.com/anthos-config-management/docs/release-notes,https://cloud.google.com/feeds/anthos-config-management-release-notes.xml
Anthos Service Mesh (beta),https://cloud.google.com/service-mesh/docs/release-notes,https://cloud.google.com/feeds/servicemesh-release-notes.xml
Config Connector,https://cloud.google.com/config-connector/docs/release-notes,https://cloud.google.com/feeds/configconnector-release-notes.xml
Cloud Run for Anthos,https://cloud.google.com/run/docs/gke/release-notes,https://cloud.google.com/feeds/runanthos-release-notes.xml
Google Cloud Platform Marketplace,https://cloud.google.com/marketplace/docs/release-notes,https://cloud.google.com/feeds/gcpmarketplace-release-notes.xml
Migrate for Anthos,https://cloud.google.com/migrate/anthos/docs/release-notes,https://cloud.google.com/feeds/migrateanthos-release-notes.xml
Cloud Build,https://cloud.google.com/cloud-build/docs/release-notes,https://cloud.google.com/feeds/cloudbuild-release-notes.xml
Traffic Director,https://cloud.google.com/traffic-director/docs/release-notes,https://cloud.google.com/feeds/trafficdirector-release-notes.xml
Cloud IoT Core,https://cloud.google.com/iot-core/docs/release-notes,https://cloud.google.com/feeds/iot-release-notes.xml
Private Catalog,https://cloud.google.com/private-catalog/docs/release-notes,https://cloud.google.com/feeds/private-catalog-release-notes.xml
Cloud Deployment Manager,https://cloud.google.com/deployment-manager/docs/release-notes,https://cloud.google.com/feeds/deploymentmanager-release-notes.xml
Anthos Service Mesh,https://cloud.google.com/service-mesh/docs/release-notes,https://cloud.google.com/feeds/servicemesh-release-notes.xml
Cloud Billing,https://cloud.google.com/billing/docs/release-notes,https://cloud.google.com/feeds/billing-release-notes.xml
Game Servers,https://cloud.google.com/game-servers/docs/release-notes,https://cloud.google.com/feeds/cloud-game-servers-release-notes.xml
BigQuery Data Transfer Service,https://cloud.google.com/bigquery-transfer/docs/release-notes,https://cloud.google.com/feeds/bigquerydatatransfer-release-notes.xml
Cloud Data Transfer,https://cloud.google.com/transfer-appliance/docs/2.0/release-notes,https://cloud.google.com/feeds/transferappliance-2.0-release-notes.xml
Transfer Service,https://cloud.google.com/storage-transfer/docs/release-notes,https://cloud.google.com/feeds/storagetransfer-release-notes.xml
Migrate for Anthos,https://cloud.google.com/migrate/anthos/docs/release-notes,https://cloud.google.com/feeds/migrateanthos-release-notes.xml
Migrate for Compute Engine,https://cloud.google.com/migrate/compute-engine/docs/4.9/release-notes,https://cloud.google.com/feeds/migrate-for-compute-engine-release-notes.xml
Transfer Appliance,https://cloud.google.com/transfer-appliance/docs/2.0/release-notes,https://cloud.google.com/feeds/transferappliance-2.0-release-notes.xml
Cloud Armor,https://cloud.google.com/armor/docs/release-notes,https://cloud.google.com/feeds/armor-release-notes.xml
Cloud CDN,https://cloud.google.com/cdn/docs/release-notes,https://cloud.google.com/feeds/cloudcdn-release-notes.xml
Cloud DNS,https://cloud.google.com/dns/docs/release-notes,https://cloud.google.com/feeds/dns-release-notes.xml
Cloud Load Balancing,https://cloud.google.com/load-balancing/docs/release-notes,https://cloud.google.com/feeds/cloudloadbalancing-release-notes.xml
Cloud NAT,https://cloud.google.com/nat/docs/release-notes,https://cloud.google.com/feeds/cloudnat-release-notes.xml
Hybrid Connectivity,https://cloud.google.com/interconnect/docs/release-notes,https://cloud.google.com/feeds/cloudinterconnect-release-notes.xml
Network Intelligence Center,https://cloud.google.com/network-intelligence-center/docs/release-notes,https://cloud.google.com/feeds/networkintelligence-release-notes.xml
Network Service Tiers,https://cloud.google.com/network-tiers/docs/release-notes,https://cloud.google.com/feeds/networkservicetiers-release-notes.xml
Traffic Director,https://cloud.google.com/traffic-director/docs/release-notes,https://cloud.google.com/feeds/trafficdirector-release-notes.xml
Virtual Private Cloud (VPC),https://cloud.google.com/vpc/docs/release-notes,https://cloud.google.com/feeds/vpc-release-notes.xml
Cloud Router,https://cloud.google.com/router/docs/release-notes,https://cloud.google.com/feeds/cloudrouter-release-notes.xml
Cloud VPN,https://cloud.google.com/vpn/docs/release-notes,https://cloud.google.com/feeds/cloudvpn-release-notes.xml
Operations Suite,https://cloud.google.com/stackdriver/docs/release-notes,https://cloud.google.com/feeds/stackdriver-release-notes.xml
Cloud Logging,https://cloud.google.com/logging/docs/release-notes,https://cloud.google.com/feeds/stackdriver-release-notes.xml
Cloud Monitoring,https://cloud.google.com/monitoring/docs/release-notes,https://cloud.google.com/feeds/stackdriver-release-notes.xml
